"Domain Name","Domain ID",Status,NS1,NS2,NS3,NS4,NS5,Notes,"Batch Number"
lloydsplumbers.co.za,124,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,3
loveoflinenbedstore.co.za,125,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,3
madibabay.co.za,126,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,3
madibabayleisurepark.co.za,127,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,3
meatconsulting.co.za,128,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,3
medicus.co.za,129,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,3
mintproperty.co.za,130,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,3
mmansholdings.co.za,131,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,3
moonriverdesign.co.za,132,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,3
nalithuba.co.za,133,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,3
nasupport.co.za,134,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,3
nautilusprojects.co.za,135,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,3
networkassociates.co.za,136,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,3
oceansun.co.za,137,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,3
onepercentproperty.co.za,138,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,3
outsourceretail.co.za,139,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,3
pbtservices.co.za,140,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,3
pejbs.co.za,141,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,3
pepperholdings.co.za,142,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,3
phknysna.co.za,143,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,3
pioneer-bingo.co.za,144,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,3
pioneerslots.co.za,145,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,3
pmgt.co.za,146,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,3
posafrica.co.za,147,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,3
prideshelf.co.za,148,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,3
propaintingservices.co.za,149,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,3
pvinsight.co.za,150,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,3
rcgins.co.za,151,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,3
robaron.co.za,152,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,3
rockdalecdk.co.za,153,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,3
rwpk.co.za,154,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,3
sagepos.co.za,155,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,3
screensmarts.co.za,156,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,3
servehr.co.za,157,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,3
siteserve.co.za,158,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,3
sketchbox.co.za,159,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,3
skippersmarine.co.za,160,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,3
southblvdcafe.co.za,162,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,3
sunvalleytransport.co.za,164,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,3
tcwoodworks.co.za,166,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,3
techniconstruction.co.za,167,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,3
temosotrading.co.za,168,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,3
thelaundryguys.co.za,169,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,3
theodor.co.za,170,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,3
theodorherzl.co.za,171,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,3
tigregp.co.za,172,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,3
tigrepta.co.za,173,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,3
