"Domain Name","Domain ID",Status,NS1,NS2,NS3,NS4,NS5,Notes,"Batch Number"
tigresa.co.za,174,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,4
toshibaeco.co.za,175,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,4
toshibascans.co.za,176,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,4
totaldp.co.za,177,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,4
tremorfurniture.co.za,178,Expired,ERROR,"Registrar Error Message",,,,"Failed to get nameservers",4
turnrite.co.za,179,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,4
villagehardware.co.za,180,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,4
waynesallspares.co.za,181,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,4
bastiontrust.co.za,182,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,4
hiredesk.co.za,183,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,4
trellidorpe.co.za,184,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,4
vpcrepairs.co.za,185,Redemption,ns1.aredlak.com,ns2.aredlak.com,,,,Success,4
pesouth.co.za,186,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,4
ryanpateguana.co.za,187,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,4
renovateitcontractors.co.za,188,Expired,ERROR,"Registrar Error Message",,,,"Failed to get nameservers",4
withlovefuneralcover.co.za,189,Cancelled,ERROR,"Registrar Function Not Supported",,,,"Failed to get nameservers",4
smsradio.co.za,190,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,4
onedevsolutions.co.za,191,Cancelled,ERROR,"Registrar Function Not Supported",,,,"Failed to get nameservers",4
renulife.co.za,192,Active,,,,,,Success,4
wellnesstribe.co.za,193,Expired,ERROR,"Registrar Error Message",,,,"Failed to get nameservers",4
jtcelectrical.co.za,194,Expired,ERROR,"Registrar Error Message",,,,"Failed to get nameservers",4
iluminar.co.za,195,Cancelled,ERROR,"Registrar Function Not Supported",,,,"Failed to get nameservers",4
kaedeka.co.za,196,Expired,ns1.kaldera.email,ns2.kaldera.email,,,,Success,4
meleeselectrical.com,197,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,4
angelucci.me,198,Active,ERROR,"Registrar Error Message",,,,"Failed to get nameservers",4
besmartwellness.co.za,199,"Transferred Away",ERROR,"Registrar Error Message",,,,"Failed to get nameservers",4
reevasteenkampfoundation.org,200,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,4
goldenprestige.co.za,201,Cancelled,ERROR,"Registrar Function Not Supported",,,,"Failed to get nameservers",4
sasolenergysa.com,202,Cancelled,ERROR,"Registrar Error Message",,,,"Failed to get nameservers",4
fitgram.fit,203,Active,ERROR,"Registrar Error Message",,,,"Failed to get nameservers",4
astroprepaid.co.za,204,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,4
drkm.co.za,209,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,4
tivolihotel.co.za,210,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,4
bbcars.co.za,211,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,4
psbranded.co.za,212,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,4
carbavarian.co.za,213,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,4
bulldogautobody.co.za,214,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,4
fairstone.co.za,215,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,4
rosebankoncology.co.za,216,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,4
soldd.co.za,217,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,4
asgardadmin.co.za,218,Expired,,,,,,Success,4
thebrowstudio.co.za,219,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,4
thecancercentre.co.za,220,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,4
viridiscapital.co.za,221,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,4
oncallassist.co.za,222,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,4
keyoncologics.co.za,223,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,4
bodytech2000.co.za,224,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,4
sfera.co.za,225,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,4
tmsteamwork.co.za,226,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,4
