"Domain Name","Domain ID",Status,NS1,NS2,NS3,NS4,NS5,Notes,"Batch Number"
benvanniekerk.co.za,16,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,1
mortgagemasters.co.za,17,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,1
mcb-industrial.co.za,25,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,1
jocores.co.za,37,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,1
emebearings.co.uk,38,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,1
semoto.co.za,47,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,1
semotoautobody.co.za,48,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,1
thutocivilandconstruction.co.za,51,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,1
dailydivabythuthu.co.za,54,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,1
broadwayonlinestore.com,55,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,1
nonnasontwerp.co.za,60,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,1
stewartmiller.net,61,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,1
vwgi.co.za,63,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,1
angicon.com,64,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,1
3gcaw.co.za,67,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,1
africanpioneer.co.za,68,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,1
akanyiletradelog.co.za,69,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,1
allelec.co.za,70,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,1
aluhitechrsa.co.za,71,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,1
areservices.co.za,72,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,1
auroraspecialcare.org.za,73,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,1
auto-smart.co.za,74,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,1
