"Domain Name","Domain ID",Status,NS1,NS2,NS3,NS4,NS5,Notes,"Batch Number"
amalocksmiths.co.za,228,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,5
horsepower.co.za,229,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,5
raccag.co.za,230,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,5
legendsautobody.co.za,231,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,5
portable-shade.co.za,232,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,5
tskp.co.za,233,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,5
galla.co.za,234,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,5
oneononeloans.co.za,235,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,5
cornright.co.za,236,Active,ns1.kaldera.email,ns2.kaldera.email,,,,Success,5
kokkoris.co.za,237,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,5
oncalltowing.co.za,238,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,5
ispray.co.za,239,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,5
dalessio.co.za,240,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,5
portableshade.co.za,241,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,5
pregoboys.co.za,242,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,5
pregoboyz.co.za,243,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,5
xenophontos.co.za,244,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,5
alcatraz.co.za,245,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,5
hellenicgolf.co.za,246,Expired,,,,,,Success,5
mydutchcousin.co.za,247,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,5
kremosproperties.co.za,248,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,5
leadwoodgroup.co.za,249,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,5
detsi.co.za,250,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,5
koupa.co.za,251,Active,wanda.ns.cloudflare.com,lakas.ns.cloudflare.com,,,,Success,5
rapoport.co.za,252,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,5
sm-t.co.za,253,Expired,,,,,,Success,5
agorafruitandveg.co.za,254,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,5
aipaaudits.co.za,255,Expired,,,,,,Success,5
raptorgroup.co.za,256,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,5
eretter.co.za,257,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,5
lsautobody.co.za,258,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,5
ultraholdings.co.za,259,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,5
motorexpress.co.za,260,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,5
wostenholm.co.za,261,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,5
samipanelbeaters.co.za,262,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,5
dgroc.co.za,263,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,5
hillinc.co.za,264,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,5
motorxpress.co.za,265,Expired,,,,,,Success,5
carelloauto.co.za,266,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,5
ultrabrokers.co.za,267,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,5
autoexeccorp.co.za,268,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,5
amatowing.co.za,269,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,5
bodytechmobile.co.za,270,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,5
inevitableauto.co.za,271,Expired,,,,,,Success,5
ultratax.co.za,272,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,5
darianassessors.co.za,273,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,5
frontrow-autobody.co.za,274,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,5
sanrose.co.za,275,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,5
aipaaudit.co.za,276,Expired,ERROR,"Registrar Error Message",,,,"Failed to get nameservers",5
